Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
Mobility;Passenger private;MOTORCYCLE_DIESEL_PRIVATE;MOTORCYCLE_DIESEL_PRIVATE;29.10103449;1.74606207;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_DIESEL_PUBLIC;CAR_DIESEL_PUBLIC;329.6755753;19.78053452;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_DIESEL_PUBLIC;BUS_DIESEL_PUBLIC;229.4696584;11.47348292;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_DIESEL_PUBLIC;PICKUP_TRUCK_DIESEL_PUBLIC;579.2604741;34.75562845;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;SUV_DIESEL_PUBLIC;SUV_DIESEL_PUBLIC;508.482667;30.50896002;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_DIESEL_PUBLIC;MOTORCYCLE_DIESEL_PUBLIC;29.10103449;1.74606207;0;10;0.01989583;0;1;0;0;
Mobility;Freight;TRUCK_FG;TRUCK_FG;267.1862834;13.35931417;0;15;0.01805556;0;1;0;0;
Mobility;Freight;VAN_FG;VAN_FG;572.0466872;34.32280123;0;10;0.0203125;0;1;0;0;
Mobility;Freight;CARGO_MOTORCYCLE_FG;CARGO_MOTORCYCLE_FG;93.40493328;5.604296;0;10;0.01075;0;1;0;0;
Mobility;Freight;TRUCK_GASOLINE;TRUCK_GASOLINE;268.895872;13.4447936;0;15;0.01805556;0;1;0;0;
Mobility;Freight;VAN_GASOLINE;VAN_GASOLINE;561.3736917;33.6824215;0;10;0.0203125;0;1;0;0;
Mobility;Freight;CARGO_MOTORCYCLE_GASOLINE;CARGO_MOTORCYCLE_GASOLINE;55.85521136;3.35131268;0;10;0.01075;0;1;0;0;
Mobility;Freight;TRUCK_DIESEL_P;TRUCK_DIESEL_P;268.895872;13.4447936;0;15;0.01805556;0;1;0;0;
Mobility;Freight;VAN_DIESEL;VAN_DIESEL;561.3736917;33.6824215;0;10;0.0203125;0;1;0;0;
Mobility;Freight;CARGO_MOTORCYCLE_DIESEL;CARGO_MOTORCYCLE_DIESEL;55.85521136;3.35131268;0;10;0.01075;0;1;0;0;
Lighting;Building lighting;Conventional bulb;CONVENTIONAL_BULB;0.1444041;0;0;5;1;0;1;0;0;
Lighting;Building lighting;LED bulb;LED_BULB;0.60161002;0;0;10;1;0;1;0;0;
Lighting;Public lighting;Conventional public lighting;CONVENTIONAL_LIGHT;1598.242939;1559.087767;0;5;1;0;1;0;0;
Lighting;Public lighting;LED public lighting;LED_LIGHT;2187.69928;431.5978112;0;10;1;0;1;0;0;
Food preservation;Food preservation;Refrigerator;REFRIGERATOR_EL;5,96E-05;0;0;15;1;0;1;0;0;
Mechanical energy;Commercial;Commercial diesel machinery;COMM_MACHINERY_DIESEL;0.08519203;0.00127788;0;25;1;0;1;0;0;
Mechanical energy;Commercial;Commercial electric machinery;COMM_MACHINERY_EL;0.06278883;0.00094183;0;12;1;0;1;0;0;
Mechanical energy;Industrial;Industrial electric machinery;IND_MACHINERY_EL;0.06278883;0.00094183;0;17;1;0;1;0;0;
Mechanical energy;Agriculture;Diesel tractor;TRACTOR_DIESEL;0.321277296;0.01606386;0;15;1;0;1;0;0;
Mechanical energy;Agriculture;Agriculture diesel machinery;AGR_MACHINERY_DIESEL;0.14693009;0.00220395;0;25;1;0;1;0;0;
Mechanical energy;Agriculture;Agriculture electric machinery;AGR_MACHINERY_EL;0.19650578;0.00294759;0;12;1;0;1;0;0;
Mechanical energy;Mining;Mining diesel machinery;MIN_MACHINERY_DIESEL;0.08519203;0.00127788;0;25;1;0;1;0;0;
Mechanical energy;Mining;Mining electric machinery;MIN_MACHINERY_EL;0.06278883;0.00094183;0;17;1;0;1;0;0;
Mechanical energy;Fishing;Fishing diesel machinery;FISH_MACHINERY_DIESEL;0.08519203;0.00127788;0;25;1;0;1;0;0;
Mechanical energy;Fishing;Fishing electric machinery;FISH_MACHINERY_EL;0.06278883;0.00094183;0;12;1;0;1;0;0;
Mechanical energy;Agriculture;Electric tractor;TRACTOR_EL;1.34690901;0.06734545;0;15;1;0;1;0;0;
Mobility;Passenger public;BUS_ELEC_PUBLIC;BUS_ELEC_PUBLIC;296.4978251;5.9299565;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;BUS_ELEC_PRIVATE;BUS_ELEC_PRIVATE;296.4978251;5.9299565;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_ELEC_PUBLIC;PICKUP_TRUCK_ELEC_PUBLIC;0;10;0;10;0;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_ELEC_PRIVATE;PICKUP_TRUCK_ELEC_PRIVATE;0;0;0;10;0;0;1;0;0;
Mobility;Passenger public;SUV_ELEC_PUBLIC;SUV_ELEC_PUBLIC;414.67;10;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;SUV_ELEC_PRIVATE;SUV_ELEC_PRIVATE;414.67;10;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_ELEC_PUBLIC;MOTORCYCLE_ELEC_PUBLIC;43.57633324;0.87152666;0;10;0.01989583;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_ELEC_PRIVATE;MOTORCYCLE_ELEC_PRIVATE;43.57633324;0.87152666;0;10;0.01989583;0;1;0;0;
Mobility;Freight;VAN_ELEC;VAN_ELEC;0;0;0;10;0;0;1;0;0;
Mobility;Freight;CARGO_MOTORCYCLE_ELEC;CARGO_MOTORCYCLE_ELEC;155.1951483;3.10390297;0;10;0.0203125;0;1;0;0;
Mobility;Freight;TRAIN_FREIGHT_ELEC;TRAIN_FREIGHT_ELEC;104.42;2.088311688;0;40;0.342465753;0;1;0;0;
Mobility;Freight;BOAT_FREIGHT_ELEC;BOAT_FREIGHT_ELEC;237;0.381944444;0;40;0.114155251;0;1;0;0;
Electricity;Electricity;FUEL_CELL;FUEL_CELL;339;10.17;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;ETHANOL_TO_FUELS;ETHANOL_TO_FUELS;738.8324741;45.8050047;0;25;0.95;0;1;0;0;
Synthetic fuels;Synthetic fuels;BIO_HYDROLYSIS;BIO_HYDROLYSIS;1472.71;100.4106859;0;15;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;PYROLYSIS_TO_FUELS;PYROLYSIS_TO_FUELS;955.5;26.6;0;25;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;PYROLYSIS_TO_LFO;PYROLYSIS_TO_LFO;940.95;42.76787919;0;25;0.8449;0;1;0;0;
Electricity;Electricity;FB_ST_BIOMASS;FB_ST_BIOMASS;1993.034485;39.8606897;165.33;30;0.409994599;0;1;0;0;
Electricity;Electricity;CFB_ST_BIOMASS;CFB_ST_BIOMASS;1695.604594;33.91209188;165.33;30;0.409994599;0;1;0;0;
Electricity;Electricity;BFB_ST_BIOMASS;BFB_ST_BIOMASS;1695.604594;33.91209188;165.33;30;0.409994599;0;1;0;0;
Synthetic fuels;Synthetic fuels;Regasification station;REGASIFICATION;2895.92;57.91836098;0;25;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Liquefaction plant;LIQUEFACTION;1075.899182;21.51798364;0;25;1;0;1;0;0;
Infrastructure;Infrastructure;DIESEL_PIPELINE;DIESEL_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;GASOLINE_PIPELINE;GASOLINE_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;LPG_PIPELINE;LPG_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;LFO_PIPELINE;LFO_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;JET_FUEL_PIPELINE;JET_FUEL_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Storage;Electricity storage;SUV_ELEC_PRIVATE_BATT;SUV_ELEC_PRIVATE_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;MOTORCYCLE_ELEC_PRIVATE_BATT;MOTORCYCLE_ELEC_PRIVATE_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;BUS_ELEC_PUBLIC_BATT;BUS_ELEC_PUBLIC_BATT;0;0;0;1;1;0;1;0;0;
